RP,Condition1H2L,Participant,TonicPeriodPost,StartTimePost,EndTimePost,TonicSCLPost,ParticipantPost,TonicSCLPre,TonicPeriodPost,EndTimePost,StartTimePost,Participant,TonicSCLPost,TonicSCLPre,tonicDiff
34,2,34_EDA Analysis_3_22 PM.xlsx,6.998,216.06,223.058,0.723266,34_EDA_stats_1_47 PM.txt,0.720445,60.000000,201.000000,141,34_EDA Analysis_3_22 PM.xlsx,0.723266,0.720445,0.002821
35,1,35actual_EDA Analysis_3_24 PM.xlsx,300.444,138.474,438.918,0.72926,35_EDA_stats_1_48 PM.txt,0.727057,60.000000,123.400000,63.4,35actual_EDA Analysis_3_24 PM.xlsx,0.72926,0.727057,0.002203
36,2,36_EDA Analysis_3_25 PM.xlsx,179.4922,175.352,480.988,11.215033,36_EDA_stats_1_49 PM.txt,10.615276,34.246000,160.300000,100.3,36_EDA Analysis_3_25 PM.xlsx,11.215033,10.615276,0.599757
37,1,37_EDA Analysis_3_27 PM.xlsx,294.271156,201.48,559.814,12.85909,37_EDA_stats_1_49 PM.txt,15.251607,51.262000,186.400000,126.4,37_EDA Analysis_3_27 PM.xlsx,12.85909,15.251607,-2.392517
38,2,38_EDA Analysis_3_28 PM.xlsx,276.859307,127.794,437.674,8.077403,38_EDA_stats_1_50 PM.txt,10.472259,39.544000,112.700000,52.7,38_EDA Analysis_3_28 PM.xlsx,8.077403,10.472259,-2.394856
39,1,39_EDA Analysis_3_30 PM.xlsx,225.487115,150.696,453.344,5.639404,39_EDA_stats_1_50 PM.txt,5.690299,47.160000,135.600000,75.6,39_EDA Analysis_3_30 PM.xlsx,5.639404,5.690299,-0.050895
40,2,40_EDA Analysis_3_32 PM.xlsx,335.958,160.602,496.56,0.721011,40_EDA_stats_1_51 PM.txt,0.720537,60.000000,145.600000,85.6,40_EDA Analysis_3_32 PM.xlsx,0.721011,0.720537,0.000474
41,1,41_EDA Analysis_3_34 PM.xlsx,215.024868,32.912,340.604,4.248697,,,,,,41_EDA Analysis_3_34 PM.xlsx,4.248697,,4.248697
42,2,42_EDA Analysis_3_35 PM.xlsx,245.801402,169.24,477.534,6.440127,42_EDA_stats_1_51 PM.txt,6.265585,55.106000,154.200000,94.2,42_EDA Analysis_3_35 PM.xlsx,6.440127,6.265585,0.174542
43,1,43_EDA Analysis_3_36 PM.xlsx,244.407458,180.472,515.19,8.281567,43_EDA_stats_1_52 PM.txt,8.470379,33.566000,165.400000,105.4,43_EDA Analysis_3_36 PM.xlsx,8.281567,8.470379,-0.188812
44,2,44_EDA Analysis_3_36 PM.xlsx,209.588163,135.968,451.418,8.307779,44_EDA_stats_1_52 PM.txt,12.622634,33.682000,120.900000,60.9,44_EDA Analysis_3_36 PM.xlsx,8.307779,12.622634,-4.314855
45,1,45_EDA Analysis_3_37 PM.xlsx,4.944872,227.958,234.108,7.223505,45_EDA_stats_1_53 PM.txt,4.252456,52.874000,212.900000,152.9,45_EDA Analysis_3_37 PM.xlsx,7.223505,4.252456,2.971049
46,2,46_EDA Analysis_3_38 PM.xlsx,287.583476,180.944,493.338,1.696282,46_EDA_stats_1_53 PM.txt,2.388863,42.232000,165.900000,105.9,46_EDA Analysis_3_38 PM.xlsx,1.696282,2.388863,-0.692581
47,1,47_EDA Analysis_3_38 PM.xlsx,283.344607,144.496,509.228,6.444949,47_EDA_stats_1_54 PM.txt,6.339872,44.866000,129.400000,69.4,47_EDA Analysis_3_38 PM.xlsx,6.444949,6.339872,0.105077
48,2,48_EDA Analysis_3_39 PM.xlsx,248.841669,212.556,521.89,2.502405,48_EDA_stats_1_54 PM.txt,1.603042,37.278000,197.500000,137.5,48_EDA Analysis_3_39 PM.xlsx,2.502405,1.603042,0.899363
49,1,49_EDA Analysis_3_40 PM.xlsx,233.47243,233.39,567.106,2.033997,49_EDA_stats_1_55 PM.txt,2.195493,36.234000,218.300000,158.3,49_EDA Analysis_3_40 PM.xlsx,2.033997,2.195493,-0.161496
50,2,50_EDA Analysis_3_41 PM.xlsx,305.178,173.438,478.616,0.718286,50_EDA_stats_1_56 PM.txt,0.718560,60.000000,158.400000,98.4,50_EDA Analysis_3_41 PM.xlsx,0.718286,0.718560,-0.000274
51,1,51_EDA Analysis_3_42 PM.xlsx,271.656848,104.78,413.768,4.061793,51_EDA_stats_1_56 PM.txt,6.902164,56.596000,89.700000,29.7,51_EDA Analysis_3_42 PM.xlsx,4.061793,6.902164,-2.840371
52,2,52_EDA Analysis_3_42 PM.xlsx,199.604127,170.024,483.208,5.469446,52_EDA_stats_1_58 PM.txt,5.305910,37.774000,155.000000,95,52_EDA Analysis_3_42 PM.xlsx,5.469446,5.305910,0.163536
53,1,53_EDA Analysis_3_43 PM.xlsx,262.783867,184.656,492.134,4.675468,53_EDA_stats_1_58 PM.txt,6.267225,47.098000,169.600000,109.6,53_EDA Analysis_3_43 PM.xlsx,4.675468,6.267225,-1.591757
54,2,54_EDA Analysis_3_43 PM.xlsx,188.433438,146.786,462.466,6.479422,54_EDA_stats_1_59 PM.txt,3.777044,56.046000,131.700000,71.7,54_EDA Analysis_3_43 PM.xlsx,6.479422,3.777044,2.702378
55,1,55_EDA Analysis_3_44 PM.xlsx,225.114032,184.656,498.864,5.131042,55_EDA_stats_1_59 PM.txt,6.156653,38.536000,145.700000,85.7,55_EDA Analysis_3_44 PM.xlsx,5.131042,6.156653,-1.025611
56,2,56_EDA Analysis_3_45 PM.xlsx,210.79829,160.768,473.296,3.467398,,,,,,56_EDA Analysis_3_45 PM.xlsx,3.467398,,3.467398
,,57_EDA Analysis_1_03 PM.xlsx,269.343692,177.456,490.076,4.880282,,,,,,57_EDA Analysis_1_03 PM.xlsx,4.880282,,4.880282
,,57_EDA Analysis_1_04 PM.xlsx,60.237958,0,120,6.366281,,,,,,57_EDA Analysis_1_04 PM.xlsx,6.366281,,6.366281
